link,posted_by,location,caption,hashtags
https://www.instagram.com/p/CZkFxgpPrqf/,,,,"['#indori_able', '#indorehd', '#indiavspakistan', '#indvspak', '#worldcupcricket', '#worldcup', '#cricketmatch', '#indiacricket', '#pakistancricket', '#worldcupmatch', '#viratkohl', '#indori', '#indore', '#cricket', '#gullycricket', '#indorecity', '#indoregram', '#indore_city', '#wc2019', '#indorediaries', '#indorepost']"
https://www.instagram.com/p/CZkFvMZMZXQ/,,,,"['#liverpool', '#newyork', '#scotland', '#travelphotography', '#art', '#like', '#s', '#english', '#fashion', '#music', '#turkey', '#summer', '#dubai', '#manchesterunited', '#architecture', '#visitengland', '#photo', '#fifa', '#beautiful', '#russia', '#landscape', '#explore', '#city', '#history', '#paris', '#cricket', '#world', '#bhfyp', '#t', '#fawadkhan']"
https://www.instagram.com/p/CZkFuIePYvh/,,,,"['#mashrafe', '#mashrafemortaza', '#mash', '#sumonahuque', '#sumi', '#eid', '#eidmubarak', '#mubarak', '#bike', '#boss', '#bangladesh', '#tiger', '#family', '#familytime', '#love', '#cute', '#couple', '#siblings', '#parenthood', '#cricket', '#cricketinblood', '#cricketlover', '#shakibalhasan', '#tamimiqbal', '#mushfique', '#mahmudullah', '#dhaka', '#chittagong', '#narail', '#masrafemortaza']"
https://www.instagram.com/p/CZkFvQUM9fo/,,,,"['#cricket', '#cricketer', '#somerset', '#somersetccc', '#taunton', '#countycricket', '#englandcricket', '#youtube', '#cricketclub', '#cricketfans', '#cricketlovers', '#cricketnews', '#cricketbat', '#bowlingmachine', '#cricketnets']"
https://www.instagram.com/p/CZkFr9sskCV/,,,,"['#hawaii', '#tamilsongs', '#urduadab', '#urdunovel', '#urduinsta', '#instagram', '#urdupoetry', '#promoteurdu', '#urduabad', '#urduadab', '#pakistani', '#indiatravelgram', '#indiancricket', '#cricket', '#psl2020', '#psl', '#karachi', '#peshawar', '#exams', '#last', '#travelawesome', '#indianpoetry', '#poetryporn']"
https://www.instagram.com/p/CZkFrwDvKqt/,,,,"['#cricmady', '#cricketupdates', '#pakistan', '#pakistancricketteam', '#pakistancricketboard', '#cricket', '#cricketpakistan', '#babarazam', '#rizwan', '#shaheenafridi', '#asifali', '#shadabkhan', '#hasanali', '#wahabriaz', '#shoaibmalik', '#harisrauf', '#fakharzaman', '#psl7', '#psl2022', '#karachikings', '#lahoreqalandars', '#islamabadunited', '#quettagladiators', '#multansultans', '#peshawarzalmi', '#qgviu', '#colinmunro']"
https://www.instagram.com/p/CZkFgKgtgQu/,,,,"['#cricket', '#handpicked', '#original', '#curated', '#cricketers', '#collection', '#perfomancebats', '#beststoreintown', '#hardworking', '#cricketlife', '#cricketfever', '#nammabengaluru', '#nammakarnataka', '#cricketlover', '#cricketmerijaan', '#weshipworldwide', '#trending', '#viral', '#brewingcricket', '#India', '#biggest', '#exclusive', '#cricket', '#store', '#jayanagar', '#koramangala', '#singapore']"
https://www.instagram.com/p/CZkFiB0FuQ4/,,,,"['#marathimulgi', '#marathistatus', '#maharashtra', '#mumbai', '#hardikpandya', '#bumrah', '#cricket', '#sachintendulkar', '#pandyapower', '#kattarmumbaiindians', '#suryakumaryadav', '#pollard', '#mumbaiindians', '#iplfinals', '#status', '#kolhapur', '#boult', '#mumbaikar', '#hardikpandya', '#bumrah', '#osmanabadkar', '#marathi_status_favour', '#vm_official_23_', '#designerrohya', '#ishankishan', '#ipl', '#marathimulga', '#marathimanus', '#dhoni', '#msdhoni', '#ipl2021auction']"
https://www.instagram.com/p/CZkFf1gPhXA/,,,,"['#tamim', '#tamimiqbal', '#aysa', '#cricket', '#cricketlover', '#cricketers', '#cricketinblood', '#shakib', '#mashrafe', '#mushfiqurrahim', '#mahmudullah', '#smile', '#love', '#captain', '#pubg', '#test', '#odi', '#t20', '#photoshoot', '#model', '#handsome', '#cricketers', '#saymashaallah', '#happy', '#newyear', '#2k22', '#2022', '#cute', '#love', '#dhaka', '#chittagong', '#tamimiqbalfc']"
https://www.instagram.com/p/CZkFrA3vlBa/,,,,"['#indori_able', '#indorehd', '#indiavspakistan', '#indvspak', '#worldcupcricket', '#worldcup', '#cricketmatch', '#indiacricket', '#pakistancricket', '#worldcupmatch', '#viratkohl', '#indori', '#indore', '#cricket', '#gullycricket', '#indorecity', '#indoregram', '#indore_city', '#wc2019', '#indorediaries', '#indorepost']"
https://www.instagram.com/p/CZkFmYNszjn/,,,,"['#psl', '#cricket', '#pakistan', '#babarazam', '#ipl', '#shahidafridi', '#t', '#bolsonaro', '#pumpkinspice', '#pakistancricket', '#pcb', '#karachikings', '#karachi', '#lahore', '#icc', '#o', '#fall', '#shadabkhan', '#peshawarzalmi', '#pakistancricketteam', '#pakistanzindabad', '#viratkohli', '#lahoreqalandars', '#islamabadunited', '#imadwasim', '#memes', '#imrankhan', '#brasil', '#pumpkin', '#bhfyp']"
https://www.instagram.com/p/CZkFYdTJbRz/,,,,"['#ajinkyarahane', '#rahane', '#jinks', '#wtcfinal', '#testcricket', '#viratkohli', '#abdevilliers', '#odi', '#rohitsharma', '#msdhoni', '#edit', '#cricket', '#viral', '#likesforlike', '#instagram', '#followforfollowback', '#jaspritbumrah', '#followｍe', '#trending', '#latest', '#heymama']"
https://www.instagram.com/p/CZkFkT3p6F1/,,,,"['#hitman', '#rohitsharma', '#trollkohli', '#trollrcb', '#trollrcbfans', '#trollvirat', '#trollviratkohli', '#gayratloli', '#rohitsharma45', '#mumbaiindians', '#cskvsmi', '#rohitians', '#rohitian', '#cricket', '#cricketlovers', '#rohitsharmafans', '#rohitsharmafanss', '#tn_rohit_fc_s_bless_rohit', '#mumbai', '#sachintendulkar', '#sachinism', '#sachinist', '#godofcricket', '#testcricket', '#odicricket', '#adidas', '#ceat', '#jaspritbumrah', '#msdhoni', '#mahi']"
https://www.instagram.com/p/CZkFeX_Id_-/,,,,"['#Westpoint', '#PSL7', '#HBLPSL', '#LevelHai', '#Cricket', '#MultanVsLahore']"
https://www.instagram.com/p/CZkFYc5ooGs/,,,,"['#Brazierisatiger', '#tigers', '#lovecricket', '#cricket']"
https://www.instagram.com/p/CZkFOpZvZO4/,,,,"['#LucknowSuperGiants', '#IPL', '#KLRahul', '#MarcusStoinis', '#RaviBishnoi', '#TeamLucknow', '#IPL2022', '#klrahul_fanclub❤️❤️', '#lucknow', '#cricket', '#iplauction', '#iplnews', '#newteam', '#LSG']"
https://www.instagram.com/p/CZkFYnBv4O9/,,,,"['#viratkohli', '#kedarjadhav', '#life', '#cricket', '#icc', '#status', '#whatsapp', '#funtime', '#comedymemes', '#comedy', '#jhollytime', '#smily', '#sync', '#unlucky', '#stillnow', '#unluck', '#ipl', '#top', '#cringe', '#statuslover', '#behindthescenes', '#lifeisbeautiful', '#memories', '#healing', '#surprise', '#followandsupport', '#saakkada_nandu']"
https://www.instagram.com/p/CZkFQrnv3vB/,,,,"['#kabaddileague', '#love', '#bhfyp', '#cricket', '#pawansehrawat', '#ajaythakur', '#puneripaltan', '#desi', '#indiankabaddi', '#jaat', '#kabaddivideo', '#prokabbadi', '#hr', '#haryanvi', '#kabadditournament', '#bengalurubulls', '#dabangdelhi', '#malik', '#ragni', '#jaatni', '#haryanviculture', '#athlete', '#mehkma', '#kusti', '#kabaddiking', '#kabaddiindia', '#football', '#punjabi', '#rohtak', '#kforkabaddi']"
https://www.instagram.com/p/CZkFYQVh1hz/,,,,"['#kylejamieson', '#backtheblackcaps', '#newzealand', '#nz', '#cricket', '#cricketnation', '#lovecricket', '#icc', '#love', '#testcricket', '#cricketlovers', '#cricketmerijaan', '#plunketshield', '#aucklandaces', '#aucklandcricket', '#auckland', '#mtmaunganui', '#nzlife', '#kiwi', '#martinguptill', '#kanewilliamson', '#ipl2022', '#morning', '#viratkohli', '#photography', '#instagood', '#trentboult', '#rohitsharma', '#csk', '#msdhoni']"
https://www.instagram.com/p/CZkFNUNMRAV/,,,,['#cricket']
https://www.instagram.com/p/CZkFKYpICiu/,,,,"['#BabarAzam', '#KarachiKings', '#HBLPSL7', '#PSL7', '#Cricketshaukeens', '#Cricket', '#DBTVSports']"
https://www.instagram.com/p/CZkE4q4uUc5/,,,,"['#pakvsind', '#t20worldcup', '#pakistani', '#pakistan', '#lahore', '#indianwebseries', '#india', '#foodporn', '#football', '#cricket', '#khabylame', '#reelsinstagram', '#reels', '#dhindora', '#bhuvanbam', '#lesbiankisses', '#lesbians', '#lesbiancouple', '#lesbos', '#gay', '#skirt', '#fuckology', '#durex', '#lovequotes', '#love', '#fitness', '#gym', '#gymotivation']"
https://www.instagram.com/p/CZkFNXPhtHK/,,,,"['#cricket', '#ipl', '#viratkohli', '#rohitsharma', '#msdhoni', '#india', '#icc', '#love', '#cricketlovers', '#cricketfans', '#cricketer', '#indiancricket', '#t', '#indiancricketteam', '#dhoni', '#teamindia', '#bcci', '#csk', '#cricketlover', '#lovecricket', '#dream', '#rcb', '#sports', '#cricketmerijaan', '#worldcup', '#cricketfever', '#cricketlife', '#klrahul', '#sachintendulkar', '#bhfyp']"
https://www.instagram.com/p/CZkFLGoPO1U/,,,,"['#photo', '#instagood', '#reel', '#traveling', '#cricket', '#instapicture', '#instafashion', '#folllow', '#likeforlikes', '#commentforcomment']"
https://www.instagram.com/p/CZkFMP4vLlY/,,,,"['#kabaddileague', '#love', '#bhfyp', '#cricket', '#pawansehrawat', '#ajaythakur', '#puneripaltan', '#desi', '#indiankabaddi', '#jaat', '#kabaddivideo', '#prokabbadi', '#hr', '#haryanvi', '#kabadditournament', '#bengalurubulls', '#dabangdelhi', '#malik', '#ragni', '#jaatni', '#haryanviculture', '#athlete', '#mehkma', '#kusti', '#kabaddiking', '#kabaddiindia', '#football', '#punjabi', '#rohtak', '#kforkabaddi']"
https://www.instagram.com/p/CZkFFQ6hvPi/,,,,"['#under19worldcup', '#cricketvideos', '#cricketer', '#cricketlife', '#cricketlove', '#cricket', '#cricketmemes', '#intags', '#cricketfever', '#cricketworld', '#cricketmerijaan', '#cricketlovers', '#cricketfans', '#cricketlover', '#cricket🏏', '#crickets', '#indiancricket']"
